rang;Département;Revenu fiscal moyen
1;75;3417
2;92;3349
3;78;3178
4;74;2805
5;91;2531
6;94;2449
7;01;2433
8;68;2380
9;69;2375
10;77;2370
11;95;2288
12;31;2272
13;67;2254
14;38;2243
15;06;2233
16;44;2218
17;73;2216
18;51;2213
19;25;2194
20;21;2185
21;35;2166
22;45;2161
23;60;2156
24;28;2150
25;33;2150
26;37;2121
27;64;2110
28;83;2106
29;90;2094
30;13;2092
31;27;2065
32;63;2057
33;56;2055
34;57;2053
35;54;2051
36;14;2047
37;41;2045
38;29;2041
39;39;2031
40;49;2025
41;76;2022
42;85;2020
43;17;1996
44;53;1992
45;26;1985
46;22;1982
47;72;1981
48;40;1976
49;10;1975
50;71;1966
51;2A;1965
52;86;1961
53;42;1958
54;79;1952
55;34;1942
56;50;1942
57;05;1940
58;89;1934
59;59;1934
60;87;1924
61;18;1903
62;80;1895
63;19;1894
64;84;1887
65;04;1887
66;16;1887
67;07;1880
68;30;1878
69;12;1872
70;46;1870
71;81;1870
72;55;1851
73;70;1848
74;43;1846
75;32;1839
76;88;1836
77;61;1825
78;02;1825
79;52;1815
80;36;1805
81;65;1802
82;47;1802
83;82;1801
84;03;1800
85;08;1793
86;58;1793
87;24;1789
88;2B;1780
89;62;1779
90;15;1769
91;48;1764
92;93;1760
93;66;1756
94;11;1710
95;09;1689
96;23;1631
97;972;1499
98;974;1458
99;973;1424
100;971;1389
101;976;789
