Département;Parti
1;LR
2;UDI
3;UDI
4;PS
5;LR
6;LR
7;PS
8;LR
9;PS
10;DVD
11;PS
12;UDI
13;LR
14;UDI
15;LR
16;DVD
17;LR
18;LR
19;LR
21;UDI
22;LR
23;LR
24;PS
25;DVD
26;LR
27;LR
28;LR
29;PS
30;PS
31;PS
32;PS
33;PS
34;PS
35;PS
36;LR
37;DVD
38;LR
39;DVD
40;PS
41;LR
42;LR
43;UDI
44;PS
45;UDI
46;PS
47;PS
48;PS
49;UDI
50;LR
51;DVD
52;LR
53;UDI
54;PS
55;LR
56;LR
57;UDI
58;PS
59;LR
60;LR
61;DVD
62;PS
63;PRG
64;MoDem
65;PRG
66;PS
67;LR
68;DVD
69M;REM
69D;LR
70;PS
71;LR
72;LR
73;LR
74;DVD
75;PS
76;UDI
77;UDI
78;LR
79;DVD
80;LR
81;PS
82;SE
83;LR
84;LR
85;DVD
86;LR
87;PS
88;LR
89;LR
90;LR
91;LR
92;LR
93;PS
94;PCF
95;DVD
971;PS
972;RDM
972;MIM
973;DVG
974;LR
976;LR
